Date,Nature,eurusd_before,eurusd_after,gb03_2_last_before,gb03_2_last_after,gb06_2_last_before,gb06_2_last_after,gt03_2_last_before,gt03_2_last_after,tot_spx_before,tot_spx_after,gt10_2_last_before,gt10_2_last_after,gt05_2_last_before,gt05_2_last_after,gb12_2_last_before,gb12_2_last_after,tech_ndx_before,tech_ndx_after
2008-01-21,Conference Call,1.4621,1.4454,2.85,2.85,2.85,2.85,,,1325.19,1310.5,3.632,3.631,2.862,2.861,,,1844.09,1795.61
2008-01-29,Meeting,1.4781,1.4776,2.254,2.29,2.329,2.366,,,1353.97,1362.3,3.582,3.679,2.792,2.885,,,1805.08,1807.67
2008-03-10,Conference Call,1.5355,1.5344,1.444,1.331,1.548,1.465,,,1293.37,1273.37,3.534,3.457,2.43,2.376,,,1707.5,1673.03
2008-03-18,Meeting,1.573,1.5625,1.004,0.886,1.291,1.306,,,1276.6,1330.74,3.308,3.485,2.202,2.455,,,1687.19,1761.05
2008-04-29,Meeting,1.5657,1.5572,1.372,1.469,1.712,1.739,,,1396.37,1390.94,3.827,3.821,3.12,3.113,,,1923.26,1933.6
2008-06-24,Meeting,1.5518,1.5568,1.889,1.839,2.281,2.251,,,1318.0,1314.29,4.166,4.084,3.63,3.526,2.534,2.492,1913.31,1903.74
2008-07-24,Conference Call,1.5698,1.5677,1.552,1.644,1.899,1.878,,,1282.19,1252.54,4.118,3.999,3.495,3.321,2.334,2.24,1845.56,1816.98
2008-08-05,Meeting,1.5576,1.5454,1.695,1.736,1.908,1.971,,,1249.02,1284.88,3.964,4.019,3.247,3.288,2.263,2.242,1804.84,1869.76
2008-09-16,Meeting,1.4243,1.4129,0.813,0.701,1.486,1.476,,,1192.7,1213.59,3.389,3.438,2.533,2.592,1.605,1.626,1705.46,1724.08
2008-09-29,Conference Call,1.4614,1.4435,0.848,0.35,1.527,1.219,,,1213.01,1106.39,3.854,3.579,3.059,2.68,1.845,1.491,1672.04,1496.15
2008-10-07,Conference Call,1.3499,1.3588,0.472,0.767,1.014,1.127,,,1056.89,996.23,3.455,3.505,2.443,2.459,1.243,1.181,1411.28,1329.98
2008-10-28,Meeting,1.2493,1.2683,0.757,0.757,1.321,1.239,,,848.92,940.51,3.689,3.836,2.606,2.723,1.533,1.512,1169.78,1297.57
2008-12-15,Meeting,1.3369,1.3688,0.02,0.01,0.208,0.208,1.038,1.022,879.73,868.57,2.572,2.514,1.512,1.49,0.463,0.473,1206.65,1181.87
2009-01-16,Conference Call,1.3115,1.3267,0.106,0.117,0.279,0.289,1.016,1.058,843.74,850.12,2.207,2.32,1.364,1.469,0.412,0.422,1183.52,1198.14
2009-01-27,Meeting,1.3189,1.316,0.101,0.135,0.315,0.333,1.203,1.149,836.57,845.71,2.643,2.529,1.654,1.568,0.451,0.453,1184.56,1194.41
2009-02-07,Conference Call,1.294,1.3003,0.279,0.276,0.435,0.462,1.428,1.456,868.6,869.89,2.994,2.986,1.964,1.974,0.529,0.556,1277.49,1281.65
2009-03-17,Meeting,1.2968,1.3017,0.229,0.232,0.414,0.442,1.399,1.442,753.89,778.12,2.955,3.008,1.92,1.976,0.667,0.688,1145.45,1192.17
2009-04-28,Meeting,1.3036,1.3149,0.089,0.122,0.292,0.31,1.297,1.372,857.51,855.16,2.91,3.009,1.845,1.942,0.468,0.488,1369.94,1361.92
2009-06-03,Conference Call,1.4303,1.4162,0.131,0.127,0.267,0.259,1.481,1.443,944.74,931.76,3.615,3.542,2.493,2.426,0.413,0.441,1480.31,1475.44
2009-06-23,Meeting,1.3865,1.4077,0.188,0.198,0.34,0.34,1.742,1.71,893.04,895.1,3.683,3.623,2.701,2.673,0.463,0.456,1426.61,1424.46
2009-08-11,Meeting,1.414,1.4149,0.162,0.181,0.277,0.282,1.778,1.712,1007.1,994.35,3.778,3.67,2.748,2.667,0.464,0.446,1610.43,1594.69
2009-09-22,Meeting,1.468,1.479,0.089,0.102,0.193,0.204,1.545,1.518,1064.66,1071.66,3.482,3.446,2.454,2.417,0.36,0.367,1731.58,1734.09
2009-11-03,Meeting,1.4775,1.4724,0.044,0.051,0.156,0.162,1.427,1.427,1042.88,1045.41,3.416,3.467,2.33,2.353,0.361,0.35,1672.91,1679.2
2009-12-15,Meeting,1.4656,1.4538,0.025,0.046,0.157,0.169,1.352,1.373,1114.11,1107.93,3.55,3.588,2.287,2.328,0.328,0.359,1809.09,1798.21
2010-01-26,Meeting,1.4151,1.4072,0.049,0.066,0.135,0.143,1.388,1.383,1096.79,1092.17,3.628,3.621,2.363,2.343,0.288,0.29,1802.39,1803.86
2010-03-16,Meeting,1.3677,1.3766,0.15,0.165,0.231,0.237,1.49,1.458,1150.51,1159.46,3.697,3.651,2.397,2.35,0.405,0.384,1920.09,1932.24
2010-04-27,Meeting,1.3383,1.3175,0.155,0.15,0.242,0.242,1.65,1.531,1212.05,1183.71,3.807,3.69,2.566,2.424,0.425,0.38,2049.09,2006.25
2010-05-09,Conference Call,1.2755,1.2787,0.125,0.15,0.197,0.226,1.295,1.37,1110.89,1159.73,3.427,3.543,2.165,2.264,0.371,0.391,1849.44,1942.61
2010-06-22,Meeting,1.2312,1.2271,0.113,0.123,0.17,0.184,1.203,1.149,1113.2,1095.31,3.243,3.168,2.026,1.966,0.272,0.273,1895.84,1880.54
2010-08-10,Meeting,1.3222,1.3177,0.142,0.15,0.181,0.186,0.792,0.754,1127.79,1121.06,2.831,2.761,1.526,1.451,0.247,0.242,1915.17,1899.24
2010-09-21,Meeting,1.3061,1.3264,0.155,0.16,0.196,0.192,0.731,0.657,1142.71,1139.78,2.704,2.574,1.413,1.301,0.244,0.244,1989.43,1989.11
2010-10-15,Conference Call,1.4084,1.3977,0.14,0.14,0.171,0.17,0.613,0.592,1173.81,1176.19,2.509,2.561,1.18,1.19,0.208,0.208,2054.51,2097.73
2010-11-02,Meeting,1.3893,1.4034,0.106,0.123,0.15,0.16,0.492,0.497,1184.39,1193.57,2.625,2.588,1.168,1.158,0.206,0.206,2128.42,2151.72
2010-12-14,Meeting,1.3391,1.3378,0.125,0.142,0.186,0.193,0.97,1.076,1240.46,1241.59,3.277,3.475,1.877,2.07,0.27,0.277,2207.45,2212.59
2011-01-25,Meeting,1.3638,1.3681,0.155,0.155,0.181,0.178,1.056,0.997,1290.84,1291.18,3.406,3.33,2.009,1.94,0.264,0.259,2300.39,2304.03
2011-03-15,Meeting,1.3992,1.3998,0.079,0.094,0.131,0.14,1.067,1.067,1296.39,1281.87,3.358,3.305,1.977,1.967,0.218,0.222,2290.72,2259.62
2011-04-26,Meeting,1.4582,1.4644,0.048,0.058,0.114,0.115,1.118,1.065,1335.25,1347.24,3.365,3.309,2.067,2.014,0.207,0.202,2383.72,2396.03
2011-06-21,Meeting,1.4304,1.4412,0.023,0.023,0.084,0.094,0.677,0.677,1278.36,1295.52,2.959,2.984,1.533,1.545,0.16,0.16,2204.36,2251.82
2011-08-01,Conference Call,1.4398,1.425,0.094,0.076,0.155,0.14,0.538,0.543,1292.28,1286.94,2.797,2.745,1.356,1.322,0.201,0.196,2362.81,2354.05
2011-08-09,Meeting,1.4179,1.4376,0.023,0.028,0.058,0.063,0.425,0.339,1119.46,1172.53,2.319,2.25,1.084,0.996,0.114,0.099,2060.29,2160.79
2011-09-20,Meeting,1.3686,1.3702,0.003,0.008,0.013,0.023,0.293,0.296,1204.09,1202.09,1.951,1.939,0.842,0.841,0.069,0.069,2308.76,2295.89
2011-11-01,Meeting,1.3858,1.3703,-0.013,-0.008,0.043,0.043,0.384,0.376,1253.3,1218.28,2.114,1.99,0.961,0.905,0.109,0.104,2360.08,2298.37
2011-11-28,Conference Call,1.3239,1.332,0.018,0.013,0.064,0.069,0.408,0.39,1158.67,1192.55,1.965,1.975,0.932,0.925,0.114,0.114,2150.88,2224.22
2011-12-13,Meeting,1.3187,1.3037,0.003,0.008,0.038,0.048,0.344,0.361,1236.47,1225.73,2.014,1.966,0.861,0.852,0.084,0.094,2292.24,2268.37
2012-01-24,Meeting,1.3013,1.3036,0.038,0.038,0.064,0.069,0.378,0.376,1316.0,1314.66,2.052,2.061,0.907,0.897,0.104,0.104,2437.22,2433.96
2012-03-13,Meeting,1.3155,1.3084,0.079,0.084,0.134,0.145,0.452,0.51,1371.09,1395.95,2.034,2.127,0.908,0.984,0.18,0.19,2646.85,2697.43
2012-04-24,Meeting,1.3156,1.3197,0.076,0.084,0.125,0.134,0.382,0.4,1366.94,1371.97,1.936,1.974,0.818,0.847,0.16,0.17,2653.5,2638.73
2012-06-19,Meeting,1.2576,1.2685,0.079,0.089,0.145,0.145,0.374,0.384,1344.78,1357.98,1.575,1.621,0.682,0.705,0.17,0.17,2592.52,2620.83
2012-07-31,Meeting,1.226,1.2304,0.099,0.099,0.14,0.134,0.307,0.281,1385.3,1379.32,1.503,1.469,0.612,0.582,0.17,0.16,2642.12,2642.53
2012-09-12,Meeting,1.2855,1.29,0.099,0.104,0.129,0.129,0.324,0.335,1433.57,1436.56,1.701,1.758,0.664,0.692,0.16,0.16,2784.89,2791.68
2012-10-23,Meeting,1.306,1.2987,0.094,0.104,0.14,0.15,0.423,0.402,1433.82,1413.11,1.814,1.758,0.789,0.755,0.18,0.18,2694.56,2666.02
2012-12-11,Meeting,1.2941,1.3005,0.079,0.068,0.129,0.124,0.315,0.32,1418.55,1427.84,1.617,1.655,0.618,0.635,0.165,0.15,2647.57,2682.07
2013-01-29,Meeting,1.3456,1.3492,0.063,0.068,0.104,0.114,0.424,0.427,1500.18,1507.84,1.962,2.0,0.863,0.878,0.14,0.14,2742.43,2743.58
2013-03-19,Meeting,1.2957,1.2882,0.074,0.056,0.104,0.104,0.379,0.366,1552.1,1548.34,1.956,1.903,0.806,0.777,0.134,0.129,2792.3,2787.27
2013-05-30,Meeting,1.2941,1.305,0.038,0.028,0.079,0.063,0.486,0.483,1648.36,1654.41,2.116,2.112,0.99,1.007,0.124,0.129,2994.82,3011.83
2013-06-18,Meeting,1.3367,1.3392,0.043,0.048,0.074,0.079,0.488,0.486,1639.04,1651.81,2.183,2.186,1.059,1.058,0.114,0.119,2971.26,2996.09
2013-07-30,Meeting,1.3262,1.3263,0.018,0.038,0.058,0.068,0.597,0.597,1685.33,1685.96,2.603,2.611,1.389,1.39,0.109,0.109,3068.95,3085.33
2013-09-17,Meeting,1.3334,1.3359,0.008,0.008,0.023,0.038,0.8,0.776,1697.6,1704.76,2.865,2.848,1.623,1.608,0.104,0.104,3168.69,3190.83
2013-10-16,Unscheduled,1.3524,1.3534,0.104,0.089,0.129,0.14,0.671,0.637,1698.06,1721.54,2.729,2.664,1.433,1.389,0.15,0.124,3244.66,3281.67
2013-10-29,Meeting,1.3785,1.3745,0.018,0.038,0.079,0.079,0.584,0.573,1762.11,1771.95,2.524,2.504,1.289,1.264,0.099,0.099,3382.68,3391.75
2013-12-17,Meeting,1.3761,1.3768,0.063,0.063,0.084,0.089,0.674,0.645,1786.54,1781.0,2.879,2.836,1.534,1.496,0.134,0.129,3475.79,3469.32
2014-01-28,Meeting,1.3673,1.3671,0.053,0.048,0.063,0.063,0.746,0.733,1781.56,1792.5,2.749,2.75,1.569,1.557,0.104,0.099,3509.02,3505.72
2014-03-04,Unscheduled,1.3735,1.3743,0.048,0.048,0.074,0.084,0.645,0.693,1845.73,1873.91,2.602,2.699,1.458,1.537,0.104,0.109,3668.37,3719.93
2014-03-18,Meeting,1.3922,1.3934,0.048,0.048,0.079,0.074,0.77,0.751,1858.83,1872.25,2.693,2.673,1.568,1.547,0.119,0.119,3662.51,3706.62
2014-04-29,Meeting,1.3851,1.3812,0.01,0.013,0.038,0.048,0.89,0.892,1869.43,1878.33,2.701,2.692,1.74,1.736,0.089,0.089,3545.03,3573.99
2014-06-17,Meeting,1.3574,1.3547,0.03,0.033,0.068,0.068,0.951,0.988,1937.78,1941.99,2.598,2.653,1.697,1.751,0.099,0.094,3779.93,3781.32
2014-07-29,Meeting,1.344,1.3409,0.03,0.018,0.053,0.058,0.992,0.984,1978.91,1969.95,2.486,2.461,1.704,1.689,0.104,0.104,3967.24,3959.03
2014-09-16,Meeting,1.294,1.296,0.013,0.013,0.041,0.043,1.054,1.046,1984.13,1998.98,2.59,2.593,1.788,1.775,0.089,0.094,4029.89,4067.27
2014-10-28,Meeting,1.2698,1.2734,0.008,0.013,0.053,0.048,0.807,0.831,1961.63,1985.05,2.261,2.297,1.488,1.516,0.099,0.099,4046.02,4106.63
2014-12-16,Meeting,1.2437,1.2511,0.008,0.033,0.086,0.109,1.025,0.988,1989.63,1972.74,2.119,2.06,1.571,1.517,0.195,0.201,4157.42,4089.6
2015-01-27,Meeting,1.1238,1.1381,0.008,0.018,0.063,0.079,0.874,0.871,2057.09,2029.55,1.825,1.824,1.338,1.336,0.155,0.15,4275.72,4165.5
2015-03-17,Meeting,1.0568,1.0597,0.033,0.048,0.14,0.15,1.054,1.068,2081.19,2074.28,2.073,2.051,1.553,1.553,0.242,0.257,4370.47,4375.63
2015-04-28,Meeting,1.0891,1.0981,0.013,0.013,0.089,0.079,0.853,0.896,2108.92,2114.76,1.922,2.004,1.338,1.402,0.216,0.216,4525.04,4515.27
2015-06-16,Meeting,1.1283,1.1248,0.008,0.008,0.094,0.104,1.105,1.078,2084.43,2096.29,2.357,2.31,1.702,1.661,0.252,0.252,4432.92,4455.9
2015-07-28,Meeting,1.1088,1.106,0.033,0.048,0.13,0.145,0.997,1.021,2067.64,2093.25,2.218,2.251,1.563,1.589,0.308,0.318,4519.09,4560.23
2015-09-16,Meeting,1.1269,1.129,0.058,0.053,0.272,0.242,1.121,1.129,1978.09,1995.31,2.288,2.295,1.611,1.61,0.451,0.467,4360.28,4383.67
2015-10-27,Meeting,1.1058,1.1051,0.018,0.018,0.145,0.176,0.933,0.906,2071.18,2065.89,2.057,2.038,1.396,1.366,0.247,0.278,4630.85,4639.23
2015-12-15,Meeting,1.0992,1.0931,0.206,0.247,0.497,0.517,1.249,1.286,2021.94,2043.41,2.223,2.267,1.654,1.693,0.672,0.677,4570.16,4597.33
2016-01-26,Meeting,1.0849,1.087,0.287,0.313,0.405,0.441,1.078,1.065,1877.08,1903.63,2.002,1.995,1.439,1.428,0.441,0.456,4196.53,4233.85
2016-03-15,Meeting,1.1103,1.1109,0.318,0.333,0.506,0.517,1.145,1.156,2019.64,2015.93,1.96,1.971,1.478,1.492,0.69,0.695,4367.33,4367.08
2016-04-26,Meeting,1.1268,1.1297,0.252,0.247,0.389,0.409,1.018,1.032,2087.79,2091.7,1.914,1.928,1.377,1.392,0.537,0.547,4474.13,4452.97
2016-06-14,Meeting,1.1292,1.1207,0.256,0.267,0.395,0.399,0.845,0.853,2079.06,2075.32,1.61,1.614,1.127,1.139,0.532,0.539,4422.76,4424.91
2016-07-26,Meeting,1.0995,1.0986,0.307,0.307,0.414,0.417,0.863,0.861,2168.48,2169.18,1.574,1.562,1.14,1.134,0.542,0.547,4665.93,4672.11
2016-09-20,Meeting,1.1175,1.1151,0.251,0.292,0.473,0.501,0.927,0.916,2139.12,2139.76,1.713,1.69,1.22,1.201,0.609,0.609,4796.07,4805.22
2016-11-01,Meeting,1.0981,1.1055,0.302,0.354,0.495,0.506,0.991,0.985,2126.15,2111.72,1.826,1.828,1.308,1.293,0.644,0.639,4801.27,4766.94
2016-12-13,Meeting,1.0635,1.0626,0.505,0.536,0.618,0.654,1.406,1.464,2256.96,2271.72,2.472,2.472,1.887,1.91,0.849,0.87,4874.3,4935.84
2017-01-31,Meeting,1.0695,1.0798,0.505,0.515,0.623,0.633,1.474,1.463,2280.9,2278.87,2.489,2.454,1.95,1.914,0.777,0.762,5129.33,5116.77
2017-03-14,Meeting,1.0653,1.0604,0.744,0.764,0.914,0.914,1.685,1.685,2373.47,2365.45,2.627,2.601,2.139,2.129,1.05,1.042,5394.57,5382.17
2017-05-02,Meeting,1.0899,1.093,0.805,0.846,0.97,0.986,1.463,1.444,2388.33,2391.17,2.319,2.281,1.841,1.803,1.076,1.07,5629.63,5644.07
2017-06-13,Meeting,1.1203,1.1211,0.998,0.999,1.109,1.124,1.488,1.509,2429.39,2440.35,2.215,2.212,1.779,1.783,1.199,1.204,5708.18,5751.82
2017-07-25,Meeting,1.1642,1.1647,1.172,1.159,1.126,1.145,1.512,1.559,2469.91,2477.13,2.256,2.336,1.822,1.891,1.22,1.23,5941.37,5930.65
2017-09-19,Meeting,1.1954,1.1994,1.017,1.035,1.17,1.186,1.543,1.546,2503.87,2506.65,2.23,2.245,1.826,1.835,1.297,1.296,5981.12,5991.08
2017-10-31,Meeting,1.1651,1.1646,1.098,1.132,1.257,1.281,1.697,1.727,2572.83,2575.26,2.369,2.38,1.996,2.017,1.413,1.426,6227.59,6248.56
2017-12-12,Meeting,1.1769,1.1742,1.289,1.328,1.441,1.482,1.939,1.954,2659.99,2664.11,2.389,2.402,2.157,2.173,1.673,1.683,6393.89,6383.65
2018-01-30,Meeting,1.2383,1.2402,1.408,1.446,1.627,1.66,2.254,2.262,2853.53,2822.43,2.695,2.721,2.491,2.506,1.776,1.78,6988.32,6930.73
2018-03-20,Meeting,1.2335,1.2242,1.759,1.791,1.959,1.962,2.458,2.494,2712.92,2716.94,2.856,2.897,2.656,2.697,2.064,2.061,6864.88,6885.92
2018-05-01,Meeting,1.2078,1.1993,1.802,1.839,2.007,2.032,2.628,2.642,2648.05,2654.8,2.954,2.965,2.798,2.813,2.237,2.248,6605.57,6681.96
2018-06-12,Meeting,1.1784,1.1745,1.903,1.919,2.085,2.089,2.654,2.673,2782.0,2786.85,2.953,2.962,2.797,2.81,2.301,2.311,7168.48,7209.18
2018-07-31,Meeting,1.1706,1.1691,1.985,2.023,2.184,2.194,2.759,2.768,2802.6,2816.29,2.974,2.961,2.85,2.849,2.411,2.414,7193.1,7231.98
2018-09-25,Meeting,1.1748,1.1767,2.168,2.21,2.364,2.371,2.903,2.914,2919.37,2915.56,3.09,3.097,2.968,2.982,2.572,2.577,7548.75,7563.19
2018-11-07,Meeting,1.1427,1.1426,2.342,2.355,2.514,2.513,3.008,3.038,2755.45,2813.89,3.229,3.236,3.056,3.08,2.698,2.739,6988.85,7203.13
2018-12-18,Meeting,1.1348,1.1361,2.385,2.387,2.536,2.528,2.684,2.629,2545.94,2546.16,2.858,2.818,2.694,2.647,2.652,2.627,6448.39,6491.52
2019-01-29,,1.1428,1.1433,2.385,2.409,2.497,2.513,2.578,2.548,2643.85,2640.0,2.746,2.711,2.581,2.546,2.596,2.587,6697.09,6632.79
2019-03-19,,1.1337,1.1352,2.437,2.45,2.5,2.513,2.406,2.423,2832.94,2832.57,2.605,2.613,2.413,2.426,2.51,2.497,7326.28,7349.28
2019-05-30,,1.1131,1.1129,2.349,2.367,2.376,2.385,2.058,2.006,2783.02,2788.86,2.263,2.214,2.071,2.021,2.304,2.295,7216.86,7245.4
2019-06-18,,1.1218,1.1194,2.182,2.216,2.194,2.188,1.813,1.8,2889.67,2917.75,2.095,2.06,1.856,1.833,2.048,2.075,7526.52,7635.4
2019-07-30,,1.1145,1.1155,2.103,2.067,2.092,2.061,1.822,1.811,3020.97,3013.18,2.066,2.059,1.848,1.843,1.986,1.98,7989.08,7952.47
2019-09-17,,1.1001,1.1073,1.984,1.977,1.927,1.91,1.719,1.681,2997.96,3005.7,1.848,1.803,1.7,1.658,1.862,1.844,7852.41,7888.79
2019-10-04,Unscheduled,1.0965,1.0979,1.702,1.694,1.661,1.645,1.347,1.36,2910.63,2952.01,1.535,1.53,1.348,1.348,1.595,1.588,7638.4,7754.1
2019-10-29,,1.11,1.1112,1.637,1.612,1.645,1.633,1.648,1.652,3039.42,3036.89,1.843,1.839,1.663,1.663,1.598,1.587,8110.67,8047.51
2019-12-10,,1.1064,1.1092,1.537,1.55,1.548,1.559,1.629,1.667,3135.96,3132.52,1.82,1.842,1.657,1.687,1.55,1.554,8362.74,8354.29
2020-01-28,,1.1019,1.1022,1.539,1.558,1.544,1.571,1.418,1.455,3243.63,3276.24,1.609,1.657,1.442,1.48,1.528,1.536,8952.18,9090.93
2020-03-03,Unscheduled,1.1134,1.1173,1.195,0.934,1.049,0.821,0.902,0.709,3090.23,3003.37,1.165,1.001,0.943,0.745,0.93,0.705,8877.98,8594.49
2020-03-15,Unscheduled,1.1107,1.1183,0.267,0.209,0.364,0.275,0.603,0.429,2711.02,2386.13,0.964,0.721,0.718,0.492,0.35,0.256,7995.26,7020.38
2020-03-17,Cancelled,1.1183,1.0997,0.209,0.16,0.275,0.244,0.429,0.62,2386.13,2529.19,0.721,1.082,0.492,0.744,0.256,0.269,7020.38,7473.95
2020-03-19,Notation Vote,1.0915,1.0692,0.01,0.019,0.072,0.032,0.653,0.557,2398.1,2409.39,1.195,1.144,0.789,0.69,0.178,0.156,7175.18,7288.52
2020-03-23,Notation Vote,1.0688,1.0726,0.015,-0.009,0.006,0.03,0.375,0.336,2304.92,2237.4,0.848,0.789,0.46,0.413,0.12,0.136,6994.29,7006.92
2020-03-31,Notation Vote,1.1048,1.1031,0.044,0.092,0.051,0.148,0.297,0.295,2626.65,2584.59,0.729,0.67,0.414,0.382,0.133,0.162,7889.01,7813.5
2020-04-28,,1.0829,1.082,0.108,0.102,0.134,0.131,0.288,0.267,2878.48,2863.39,0.661,0.614,0.405,0.376,0.169,0.159,8837.66,8677.6
2020-06-09,,1.1294,1.134,0.162,0.168,0.188,0.186,0.284,0.264,3232.39,3207.18,0.876,0.826,0.448,0.402,0.185,0.183,9901.52,9967.17
